entity_name,canonical,fiscal_year,source_file,currency,fx_rate_to_zar,fx_rate_date,revenue_m,revenue_zar_m,cost_of_sales_m,cost_of_sales_zar_m,operating_expenses_m,operating_expenses_zar_m,trade_receivables_m,trade_receivables_zar_m,trade_payables_m,trade_payables_zar_m,inventory_m,inventory_zar_m,foreign_revenue_pct,fx_gains_losses_m,fx_gains_losses_zar_m,fiscal_year_end,page_ref,notes
Clicks Group,clicks,2024,CGL-YE24-Annual-financial-statements.pdf,ZAR,1.0,,48609.808,48609.8,34805.221,34805.2,,,3057.282,3057.3,10030.903,10030.9,7063.28,7063.3,,-2.089,-2.1,31 August 2024,"10, 25, 27","cost_of_sales is the group's 'Cost of merchandise sold' line (single disclosed line, not an aggregate). Non-South-African revenue is described only as 'not significant' relative to local revenue, with no percentage disclosed."
Clicks Group,clicks,2025,Clicks_FY2025_AFS.pdf,ZAR,1.0,,51426.992,51427.0,36428.426,36428.4,,,3139.516,3139.5,10912.537,10912.5,7818.704,7818.7,,,,,"10, 13, 14, 26, 41, 42, 43",Reused from financials_extracted.csv (FY2025 source file unchanged); foreign_revenue_pct/fx_gains_losses not carried over since those were free-text there.
Glencore,glencore,2024,GLEN-2024-Annual-Report.pdf,USD,16.3213,2026-08-07,230944,3769306.3,,,,,17781,290209.0,28968,472795.4,30097,491222.2,,-445,-7263.0,31 December 2024,"163, 187, 190, 192, 210, 211, 230","No single 'cost of sales'/'total operating expenses' line is disclosed in this excerpt (primary income statement page not captured), so both are null. Foreign revenue % is null since revenue is only disclosed by continent, not by home country (Switzerland/Jersey)."
Glencore,glencore,2025,Glencore 2025 Annual Report.pdf,USD,16.3213,2026-08-07,247535,4040093.0,241672,3944401.2,,,23826,388871.3,35614,581266.8,33955,554189.7,,,,,"46, 47, 140, 141, 146, 168, 169, 188, 207, 208, 214, 234",Reused from financials_extracted.csv (FY2025 source file unchanged); foreign_revenue_pct/fx_gains_losses not carried over since those were free-text there.
Gold Fields,gold fields,2024,afs-2024.pdf,USD,16.3213,2026-08-07,5201.6,84896.9,2843.7,46412.9,,,337.8,5513.3,651.1,10626.8,1049.1,17122.7,87.57,-6.6,-107.7,31 December 2024,"73, 75, 78, 138",Cost of sales is the single disclosed 'Total cost of sales' line (includes amortisation/depreciation and gold inventory change). Inventory sums current (699.3) and non-current (349.8) balances.
Gold Fields,gold fields,2025,AFR2025.pdf,USD,16.3213,2026-08-07,8751.3,142832.6,3680.8,60075.4,,,380.7,6213.5,908.1,14821.4,1156.0,18867.4,,,,,"16-21, 29-31, 58-70, 72-74, 77, 78, 80, 81, 96-99, 102, 104, 112, 113, 118-124, 132-135, 143-146, 151-155, 161-165",Reused from financials_extracted.csv (FY2025 source file unchanged); foreign_revenue_pct/fx_gains_losses not carried over since those were free-text there.
MTN Group,mtn,2024,MTN-Group-FY-24-Annual-Financial-Statements.pdf,ZAR,1.0,,188001,188001.0,,,,,34304,34304.0,57942,57942.0,1213,1213.0,72.02,-18879,-18879.0,31 December 2024,"21, 23, 35, 45","MTN's income statement lists itemized cost components with no single cost-of-sales or total-operating-expenses subtotal, so both are null."
MTN Group,mtn,2025,MTN FY25 Integrated Report low res (28042026).pdf,ZAR,1.0,,226707,226707.0,,,,,,,,,,,79.2,,,31 December 2025,"Report pp. 08, 18-19 (PDF pages 10, 20-21)","CORRECTED FY2025 (genuine, distinct from FY2024 file used previously - fixes the prior staleness flag). This Integrated Report excerpt is a summary document (not the full AFS), so balance sheet only shows aggregated lines with no separate trade receivables/payables or inventory disclosed. foreign_revenue_pct is derived from the service-revenue-by-geography split (South Africa 20.8%), not total group revenue."
NEPI Rockcastle,nepi,2024,NEPI_Rockcastle_Annual_Report_2024.pdf,EUR,18.8014,2026-08-07,853.36,16044.4,,,,,115.947,2180.0,187.084,3517.4,4.227,79.5,,-0.158,-3.0,31 December 2024,"292-293, 321-323, 329, 339-341","A small 'Inventory property' balance (€4.227m) exists for one Romanian residential development, unlike a typical REIT. foreign_revenue_pct is null because revenue is broken out across nine CEE country segments with no single designated 'home country' for the Dutch-incorporated group."
NEPI Rockcastle,nepi,2025,NEPI Rockcastle N.V. Annual Report 2025_18 Mar_reduced.pdf,EUR,18.8014,2026-08-07,624.348,11738.6,,,,,113.533,2134.6,179.289,3370.9,,,,,,,"310, 311, 330, 357, 361, 372",Reused from financials_extracted.csv (FY2025 source file unchanged); foreign_revenue_pct/fx_gains_losses not carried over since those were free-text there.
Naspers,naspe,2024,annual-financial-statements.pdf,USD,16.3213,2026-08-07,6431,104962.3,3966,64730.3,,,310,5059.6,427,6969.2,355,5794.1,,-1644,-26832.2,31 March 2024,"pp. 12-14 (extract of consolidated statement of financial position, income statement, and statement of comprehensive income)","Document is a condensed 'extract from the integrated annual report,' not the full AFS, so detailed notes and a geographic (SA vs non-SA) revenue split are unavailable. The FX figure used is the OCI translation line, which includes equity-accounted investments' translation effects rather than a pure operating FX gain/loss."
Naspers,naspe,2025,Naspers_FY2025_Annual Financial Statements.pdf,USD,16.3213,2026-08-07,7181,117203.3,4289,70002.1,,,241,3933.4,365,5957.3,321,5239.1,85.06,36,587.6,31 March 2025,"31, 32, 66-68, 70-71, 83, 100, 116","CORRECTED FY2025 (genuine, distinct from FY2026 file used previously). cost_of_sales uses the single disclosed 'Cost of providing services and sale of goods' line. fx_gains_losses is the net 'gains/(losses) on translation of assets and liabilities' within finance income."
Naspers,naspe,2026,naspers-annual-financial-statements-2026.pdf,USD,16.3213,2026-08-07,10848,177053.5,6027,98368.5,,,608,9923.4,1170,19095.9,347,5663.5,88.88,-413,-6740.7,31 March 2026,"32-34, 68-71, 73-74, 86-87, 104",cost_of_sales uses the disclosed 'Cost of providing services and sale of goods' line. fx_gains_losses is the '(Losses)/gains on translation of assets and liabilities' line (mainly unrealised FX losses on euro-denominated bonds).
OUTsurance Group,out,2024,ogl_annual-financial-statements_2024.pdf,ZAR,1.0,,31913,31913.0,,,,,,,,,,,58.9,-5,-5.0,30 June 2024,"22-24, 58-67, 70, 187, 192, 201, 204","Revenue uses the IFRS 17 'Insurance revenue' P&L line (R31,913m); gross written premium (R33,200m) also disclosed but not used. No consolidated Group trade/insurance receivables or payables note appears in this excerpt."
OUTsurance Group,out,2025,ogl-annual-financial-statements-2025.pdf,ZAR,1.0,,37131,37131.0,,,,,4,4.0,12,12.0,,,,,,,"44, 45, 58, 60, 189, 199, 201",Reused from financials_extracted.csv (FY2025 source file unchanged); foreign_revenue_pct/fx_gains_losses not carried over since those were free-text there.
Pepkor Holdings,pepkor,2024,Pepkor-annual-financial-statements-2024.pdf,ZAR,1.0,,85136,85136.0,52527,52527.0,,,10987,10987.0,16771,16771.0,17509,17509.0,15.26,-643,-643.0,30 September 2024,"20, 22, 41-43, 45",Cost of sales is a genuine single disclosed line (cost of merchandise sold). Note 3.8 discloses only a net 'Foreign exchange losses' line (R643m); no separate gross FX gain figure is presented.
Pepkor Holdings,pepkor,2025,Pepkor annual financial statements 2025.pdf,ZAR,1.0,,95340,95340.0,57388,57388.0,,,14606,14606.0,16890,16890.0,18618,18618.0,,,,,"21, 23, 29, 31, 41, 44, 65, 76, 79, 82, 83",Reused from financials_extracted.csv (FY2025 source file unchanged); foreign_revenue_pct/fx_gains_losses not carried over since those were free-text there.
Prosus,prosus,2024,finacial-statements.pdf,USD,16.3213,2026-08-07,5467,89228.5,3245,52962.6,,,278,4537.3,365,5957.3,268,4374.1,,-29,-473.3,31 March 2024,"9-10, 28-31, 38, 47, 55, 68","Revenue/cost of sales are continuing operations only per the income statement; including discontinued OLX Autos operations (US$750m revenue), total group revenue was US$6,217m. foreign_revenue_pct is null because Prosus discloses geographic revenue only by Asia/Europe/Latin America/North America/'Other' (Africa+Australia combined), with no standalone South Africa figure."
Prosus,prosus,2025,Prosus_FY2025_Annual Report.pdf,USD,16.3213,2026-08-07,6170,100702.4,3546,57875.3,,,202,3296.9,318,5190.2,255,4161.9,,,,31 March 2025,"18-20, 133-134, 171","CORRECTED FY2025 (genuine, distinct from FY2026 file used previously). Prosus discloses 'trade receivables' (US$202m) and 'other receivables' (US$1,361m) as separate lines - only trade receivables reported. No consolidated net FX gain/loss line or SA-specific revenue split disclosed."
Prosus,prosus,2026,prosus-financial-results-fy26-booklet.pdf,USD,16.3213,2026-08-07,9705,158398.2,5198,84838.1,,,570,9303.1,1109,18100.3,271,4423.1,,2797,45650.7,31 March 2026,pp. 11-14,"Condensed 'Summary from the annual report' results booklet, not the full AFS. The FX figure is the OCI translation gain, the only explicitly labeled FX line disclosed - not a pure P&L trading FX figure."
Sanlam,sanlam,2024,annual-results-presentation-2024.pdf,ZAR,1.0,,,,,,,,,,,,,,,,,31 December 2024,"pp. 16, 19-25, 32-34","This is a headline results presentation, not a full AFS, so no consolidated income statement or balance sheet is shown; no single group 'revenue' figure is disclosed (only profit measures like NRFFS R14,071m and net operational earnings R17,172m, plus segment-only premium figures), so revenue/receivables/payables/opex/FX/foreign-revenue% are all null."
Sanlam,sanlam,2025,Sanlam-AFS-2025-spreads.pdf,ZAR,1.0,,102903,102903.0,,,,,18629,18629.0,36891,36891.0,,,1.94,-4275,-4275.0,31 December 2025,"88-90, 98-99, 202-203","CORRECTED FY2025 (genuine AFS, fixes the FY2023 staleness issue flagged previously). Revenue = 'Insurance revenue' (R102,903m), the primary top-line figure; a separate non-insurance fee/commission 'Revenue' line (R25,749m) exists but wasn't used as the headline figure."
Shaftesbury Capital plc,shaftesbury,2024,fy24-press-release.pdf,GBP,21.9424,2026-08-07,227.1,4983.1,,,,,30.4,667.0,84.8,1860.7,,,0,,,31 December 2024,"pp. 30-31 (Consolidated Income Statement, Consolidated Balance Sheet), p. 44 (Note 12 Trade and Other Receivables)","Source is an audited preliminary results press release, not the full Annual Financial Statements; no FX gain/loss or single 'operating expenses' aggregate is disclosed since the company is a UK-only central London REIT."
Shaftesbury Capital plc,shaftesbury,2025,Shaftesbury Capital Annual Report 2025.pdf,GBP,21.9424,2026-08-07,216.3,4746.1,,,,,155.1,3403.3,98.1,2152.5,,,,,,,"165-171, 172, 183, 184-190, 192",Reused from financials_extracted.csv (FY2025 source file unchanged); foreign_revenue_pct/fx_gains_losses not carried over since those were free-text there.
Shoprite Holdings,shoprite,2024,shp-afs-2024.pdf,ZAR,1.0,,246082,246082.0,182968,182968.0,,,6298,6298.0,32458,32458.0,28366,28366.0,10.33,-14,-14.0,30 June 2024,"18-19, 46-47","foreign_revenue_pct is approximated as outside-South-Africa external sale of merchandise over total external sale of merchandise, since no geographic split of total group revenue (which also includes interest/insurance/other income) is disclosed."
Shoprite Holdings,shoprite,2025,shp-afs-2025.pdf,ZAR,1.0,,256682,256682.0,191259,191259.0,,,3506,3506.0,24474,24474.0,29748,29748.0,,,,,"11, 19, 24, 25, 33, 40, 47, 60, 61, 62",Reused from financials_extracted.csv (FY2025 source file unchanged); foreign_revenue_pct/fx_gains_losses not carried over since those were free-text there.
The Bidvest Group,bidvest group,2024,fy2024-booklet.pdf,ZAR,1.0,,122615.986,122616.0,87739.492,87739.5,,,19168.125,19168.1,22958.643,22958.6,14894.387,14894.4,25.82,,,30 June 2024,"pp.9 (income statement), 13 (balance sheet), 15 (revenue disaggregation)","Group-level (consolidated) data, not Company-level. Cost_of_sales uses the Group's single 'Cost of revenue' line (no separate 'cost of sales' label exists); operating_expenses left null per rule since cost_of_sales is populated; fx_gains_losses is null as no standalone net FX gain/(loss) P&L line is disclosed (only hedge-related OCI items)."
The Bidvest Group,bidvest group,2025,Bidvest_FY2025_Company AFS.pdf,ZAR,1.0,,,,,,,,205.745571,205.7,14.12806,14.1,,,,,,,"17, 18, 21, 23, 32",Reused from financials_extracted.csv (FY2025 source file unchanged); foreign_revenue_pct/fx_gains_losses not carried over since those were free-text there.
Valterra Platinum,valterra,2024,annual-financial-statements-2024-1.pdf,ZAR,1.0,,109007,109007.0,90769,90769.0,,,3698,3698.0,23438,23438.0,30087,30087.0,94.34,-539,-539.0,31 December 2024,"20, 21, 24, 27, 28, 37, 38, 43","Revenue is gross revenue per the income statement (net revenue after commissions was R108,987m); foreign_revenue_pct approximated from geographic sales-revenue breakdown (excludes toll refining/other revenue)."
Valterra Platinum,valterra,2025,AFS (1).pdf,ZAR,1.0,,116398,116398.0,87772,87772.0,,,4095,4095.0,21923,21923.0,32931,32931.0,,-748,-748.0,31 December 2025,"24, 25, 29, 31, 32, 42, 43, 50","CORRECTED FY2025 (genuine, distinct from the FY2024 file this company previously extracted from). Revenue is 'Gross revenue' before commissions (net revenue was R116,330m); no revenue-by-geography breakdown disclosed so foreign_revenue_pct is null."
Vodacom Group,vodacom,2024,results-booklet.pdf,ZAR,1.0,,150594,150594.0,,,94669,94669.0,28154,28154.0,42585,42585.0,2321,2321.0,41.4,-1599,-1599.0,31 March 2024,"5, 16-17, 23, 25, 42, 51","No single cost-of-sales line is disclosed; Vodacom reports direct/staff/publicity/other operating expense components instead, so operating_expenses uses the disclosed 'Group total expenses' aggregate (excludes D&A per company definition)."
Vodacom Group,vodacom,2025,vodacom-consolidated-and-separate-financial-statements-2025.pdf,ZAR,1.0,,152227,152227.0,,,,,28536,28536.0,44057,44057.0,2287,2287.0,40.65,-459,-459.0,31 March 2025,"20, 22, 42, 46","CORRECTED FY2025 (genuine, distinct from FY2026 file used previously). Vodacom discloses direct/staff/publicity/other opex/D&A components separately with no single cost-of-sales aggregate."
Vodacom Group,vodacom,2026,results-booklet-AFY.pdf,ZAR,1.0,,167652,167652.0,,,103517,103517.0,29986,29986.0,46181,46181.0,2112,2112.0,45.5,-167,-167.0,31 March 2026,"23, 24, 25, 43, 56",Reviewed (not fully Audited) Results Booklet; operating_expenses reflects the disclosed 'Total expenses' aggregate excluding D&A.
